Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,Issue_amount,相關產業
1720,生達,市,67.6,生技醫療業,Biotech,Biotech,17.9,"中西藥製劑,保健食品代理銷售及通路"
1721,三晃,市,22.2,化學工業,Traditional,Chemical,22.2,"塑膠_工業用合成樹脂,塑膠_橡塑膠添加劑,塑膠_其他製品"
1722,台肥,市,485,化學工業,Traditional,Chemical,98,"塑膠_原料,塑膠_其他製品"
1723,中碳,市,215,化學工業,Traditional,Chemical,23.7,塑膠_原料
1724,台硝,市,16.2,化學工業,Traditional,Chemical,12.8,"塑膠_原料,塑膠_其他製品"
1725,元禎,市,24.7,化學工業,Traditional,Chemical,18.2,"塑膠_PTA,塑膠_界面活性劑,塑膠_工業用合成樹脂,塑膠_橡塑膠添加劑"
1726,永記,市,111,化學工業,Traditional,Chemical,16.2,塑膠_其他製品
1727,中華化,市,12.2,化學工業,Traditional,Chemical,11,"IC及晶圓製造化學品,塑膠_PTA,塑膠_界面活性劑,塑膠_工業用合成樹脂,塑膠_紡織助劑"
1730,花仙子,市,43.8,化學工業,Traditional,Chemical,6.32,"塑膠_其他製品,貿易百貨_代理經銷商"
1731,美吾華,市,21.4,生技醫療業,Biotech,Biotech,13.3,"藥品代理銷售及通路,保健食品代理銷售及通路,塑膠_其他製品"
1732,毛寶,市,8.59,化學工業,Traditional,Chemical,4.24,塑膠_其他製品
1733,五鼎,市,24.2,生技醫療業,Biotech,Biotech,10,"體溫血壓計,醫療耗材"
1734,杏輝,市,62.8,生技醫療業,Biotech,Biotech,16.8,中西藥製劑
1735,日勝化,市,16.4,化學工業,Traditional,Chemical,9.94,塑膠_工業用合成樹脂
1736,喬山,市,190,生技醫療業,Biotech,Biotech,30.4,生技醫療
1737,臺鹽,市,60.9,食品工業,Traditional,Food,20,"食品_原物料,食品_即食品"
1760,寶齡富錦,市,92.1,生技醫療業,Biotech,Biotech,7.67,"中西藥製劑,藥品代理銷售及通路,食品生技加工製成品,保健食品代理銷售及通路,塑膠_其他製品"
1762,中化生,市,52.6,生技醫療業,Biotech,Biotech,7.76,中西藥原料藥
1773,勝一,市,178,化學工業,Traditional,Chemical,18,"平面顯示器化學品用料,塑膠_其他製品"
1776,展宇,市,10.8,化學工業,Traditional,Chemical,7.03,塑膠_工業用合成樹脂
1783,和康生,市,15.5,生技醫療業,Biotech,Biotech,6.95,醫療耗材
1786,科妍,市,42.4,生技醫療業,Biotech,Biotech,6.1,"製藥原材料,中西藥製劑,醫療耗材"
1789,神隆,市,233,生技醫療業,Biotech,Biotech,79.1,中西藥原料藥
1795,美時,市,196,生技醫療業,Biotech,Biotech,24.5,"中西藥製劑,食品生技加工製成品,保健食品代理銷售及通路"
1802,台玻,市,340,玻璃陶瓷,Traditional,Glass,291,"PCB材料,玻璃陶瓷_建材,汽車配件"
1805,寶徠,市,10,建材營造業,Traditional,Construction,10,建設業
1806,冠軍,市,27.8,玻璃陶瓷,Traditional,Glass,43.4,玻璃陶瓷_建材
1808,潤隆,市,188,建材營造業,Traditional,Construction,30.8,建設業
1809,中釉,市,17.4,玻璃陶瓷,Traditional,Glass,16.7,玻璃陶瓷_建材
1810,和成,市,34.1,玻璃陶瓷,Traditional,Glass,37,玻璃陶瓷_建材
1817,凱撒衛,市,21.8,玻璃陶瓷,Traditional,Glass,7.26,玻璃陶瓷_建材
1903,士紙,市,141,造紙工業,Traditional,Paper,26,"造紙_造紙全部, 租賃業"
1904,正隆,市,350,造紙工業,Traditional,Paper,111,造紙_造紙全部
1905,華紙,市,96.5,造紙工業,Traditional,Paper,110,造紙_造紙全部
1906,寶隆,市,20.6,造紙工業,Traditional,Paper,15.1,造紙_造紙全部
1907,永豐餘,市,279,造紙工業,Traditional,Paper,166,造紙_造紙全部
1909,榮成,市,201,造紙工業,Traditional,Paper,122,造紙_造紙全部
2002,中鋼,市,3171,鋼鐵工業,Traditional,Steel,1573,"原料鋼胚,冷熱軋鋼板捲,盤元,鋼鐵成品-金屬製品"
2006,東和鋼鐵,市,282,鋼鐵工業,Traditional,Steel,100,"原料鋼胚,鋼筋"
2007,燁興,市,34.9,鋼鐵工業,Traditional,Steel,53.1,"鋼筋,盤元"
2008,高興昌,市,26,鋼鐵工業,Traditional,Steel,20.1,"冷熱軋鋼板捲,不鏽鋼製管"
