Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,Issue_amount,相關產業
1817,凱撒衛,市,21.8,玻璃陶瓷,Traditional,Glass,7.26,玻璃陶瓷
1903,士紙,市,141,造紙工業,Traditional,Paper,26,造紙
1904,正隆,市,350,造紙工業,Traditional,Paper,111,造紙
1905,華紙,市,96.5,造紙工業,Traditional,Paper,110,造紙
1906,寶隆,市,20.6,造紙工業,Traditional,Paper,15.1,造紙
1907,永豐餘,市,279,造紙工業,Traditional,Paper,166,造紙
1909,榮成,市,201,造紙工業,Traditional,Paper,122,造紙
2002,中鋼,市,3171,鋼鐵工業,Traditional,Steel,1573,鋼鐵
2006,東和鋼鐵,市,282,鋼鐵工業,Traditional,Steel,100,鋼鐵
2007,燁興,市,34.9,鋼鐵工業,Traditional,Steel,53.1,鋼鐵
2008,高興昌,市,26,鋼鐵工業,Traditional,Steel,20.1,鋼鐵
2009,第一銅,市,31,鋼鐵工業,Traditional,Steel,36,鋼鐵
2010,春源,市,67.4,鋼鐵工業,Traditional,Steel,64.8,鋼鐵
2012,春雨,市,46.9,鋼鐵工業,Traditional,Steel,28.8,鋼鐵
2013,中鋼構,市,57.1,鋼鐵工業,Traditional,Steel,20,鋼鐵
2014,中鴻,市,132,鋼鐵工業,Traditional,Steel,144,鋼鐵
2015,豐興,市,323,鋼鐵工業,Traditional,Steel,58.2,鋼鐵
2017,官田鋼,市,27.7,鋼鐵工業,Traditional,Steel,34.2,鋼鐵
2020,美亞,市,35,鋼鐵工業,Traditional,Steel,22.3,鋼鐵
2022,聚亨,市,25.9,鋼鐵工業,Traditional,Steel,48,鋼鐵
2023,燁輝,市,175,鋼鐵工業,Traditional,Steel,189,鋼鐵
2024,志聯,市,13.8,鋼鐵工業,Traditional,Steel,9.75,鋼鐵
2025,千興,市,9.87,鋼鐵工業,Traditional,Steel,28.1,鋼鐵
2027,大成鋼,市,238,鋼鐵工業,Traditional,Steel,126,鋼鐵
2028,威致,市,32.2,鋼鐵工業,Traditional,Steel,32.6,鋼鐵
